state,city,population,location
Alaska,White Mountain city,190,"White Mountain city, Alaska"
Alaska,Homer city,5003,"Homer city, Alaska"
Alaska,Toksook Bay city,590,"Toksook Bay city, Alaska"
Alaska,Upper Kalskag city,210,"Upper Kalskag city, Alaska"
Alaska,Eek city,296,"Eek city, Alaska"
Alaska,Manokotak city,442,"Manokotak city, Alaska"
Alaska,Chefornak city,418,"Chefornak city, Alaska"
Alaska,Nightmute city,280,"Nightmute city, Alaska"
Alaska,Kaktovik city,239,"Kaktovik city, Alaska"
Alaska,Golovin city,156,"Golovin city, Alaska"
Alaska,Anchorage municipality,291826,"Anchorage municipality, Alaska"
Alaska,Kodiak city,6130,"Kodiak city, Alaska"
Alaska,Togiak city,817,"Togiak city, Alaska"
Alaska,Akiak city,346,"Akiak city, Alaska"
Alaska,Unalaska city,4376,"Unalaska city, Alaska"
